FID_Indore,FID_all_Gr,GRID_ID,Shape_Leng,OBJECTID_1,GRID_ID_1,ZONE_CODE,COUNT,AREA,MEAN,OID_,GRID_ID_12,sum_Road_l,sum_Length,Polyline_C,sum_Transp,Point_Coun,sum_Nos,Point_Co_1,sum_Nos_1,Point_Co_2,School_Nos,Shape_Le_1,Shape_Ar_1,sum_Health,Point_Co_3,Shape_Le_2,Shape_Area,Direction
1,6237,EN-215,2999.955996,4319,EN-215,4319,1,6.94444E-05,1663.2948,54207,,2.86238882,2.862741326,14,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922262,4.83775E-05,South_West
1,6238,EO-215,2999.955996,4320,EO-215,4320,1,6.94444E-05,1178.003174,54208,,1.236728261,1.236703133,7,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922581,4.83788E-05,South_West
1,6239,EP-215,2999.955996,4321,EP-215,4321,1,6.94444E-05,1750.471191,54209,,1.439044587,1.438893546,9,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.02592226,4.83775E-05,South_West
1,6240,EQ-215,2999.955996,4322,EQ-215,4322,1,6.94444E-05,2353.618408,54210,,6.799433749,6.79935127,46,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922581,4.83788E-05,South_West
1,6241,ER-215,2999.955996,4323,ER-215,4323,1,6.94444E-05,4222.164551,54211,,5.896461816,5.896260243,36,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922262,4.83775E-05,South_West
1,6242,ES-215,2999.955996,0,ES-215,0,0,0,0,54212,,9.384556903,9.383120981,55,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922581,4.83788E-05,South_East
1,6243,ET-215,2999.955996,4324,ET-215,4324,1,6.94444E-05,5513.665039,54213,,10.56527031,10.56746548,64,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922262,4.83775E-05,South_East
1,6244,EU-215,2999.955996,4325,EU-215,4325,1,6.94444E-05,2899.39209,54214,,4.035239091,4.033511504,17,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922581,4.83788E-05,South_East
1,6245,EV-215,2999.955996,4326,EV-215,4326,1,6.94444E-05,1000.600769,54215,,1.689841504,1.690294314,5,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.02592226,4.83775E-05,South_East
1,6246,EW-215,2999.955996,0,EW-215,0,0,0,0,54216,,0.716426282,0.715427416,2,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922581,4.83788E-05,South_East
1,6247,EX-215,2999.955996,4327,EX-215,4327,1,6.94444E-05,980.907959,54217,,1.137972128,1.137907742,7,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922262,4.83775E-05,South_East
1,6248,EY-215,2999.955996,4328,EY-215,4328,1,6.94444E-05,1457.503906,54218,,1.332521743,1.332479743,8,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922581,4.83788E-05,South_East
1,6249,EZ-215,2999.955996,4329,EZ-215,4329,1,6.94444E-05,1259.281616,54219,,0.932839046,0.933194292,9,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922262,4.83775E-05,South_East
1,6250,FA-215,2999.955996,4330,FA-215,4330,1,6.94444E-05,1360.441162,54220,,1.756970589,1.756703593,7,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922579,4.83788E-05,South_East
1,6251,FB-215,2999.955996,4331,FB-215,4331,1,6.94444E-05,820.5844116,54221,,3.057720115,3.057244195,15,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922262,4.83775E-05,South_East
1,6252,FC-215,2999.955996,0,FC-215,0,0,0,0,54222,,2.35183544,2.351669738,6,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922581,4.83788E-05,South_East
1,6253,FD-215,2999.955996,4332,FD-215,4332,1,6.94444E-05,672.6282959,54223,,1.292292211,1.291843183,4,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025218945,4.58651E-05,South_East
